,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part,Qty,Value,Device,Package,Parts,Description,AMBIENT_TEMPERATURE_RANGE_HIGH,AMBIENT_TEMPERATURE_RANGE_LOW,AUTOMOTIVE,BANDWIDTH,CENTROID_NOT_SPECIFIED,DATASHEET,DEVICE_CLASS_L1,DEVICE_CLASS_L2,DEVICE_CLASS_L3,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,FILTER_TYPE,FOOTPRINT_PARAMETERS_0,FOOTPRINT_PARAMETERS_1,FOOTPRINT_PARAMETERS_2,FOOTPRINT_PARAMETERS_3,FOOTPRINT_URL,FOOTPRINT_VARIANT_NAME_0,FOOTPRINT_VARIANT_NAME_1,FOOTPRINT_VARIANT_NAME_2,FOOTPRINT_VARIANT_NAME_3,FREQUENCY,HEIGHT,INSERTION_LOSS,INTERFACE,IPC_LAND_PATTERN_NAME,LEAD_FREE,MANUFACTURER,MAX_FREQUENCY,MAX_JUNCTION_TEMP,MAX_SUPPLY_VOLTAGE,MF,MFG_PACKAGE_IDENT,MFG_PACKAGE_IDENT_DATE,MFG_PACKAGE_IDENT_REV,MIN_SUPPLY_VOLTAGE,MOUSER_DESCRIPTION,MOUSER_PART_NUMBER,MPN,NR,NUMBER_OF_ADC_CHANNELS,NUMBER_OF_GPIO,PACKAGE,POPULARITY,PREFIX,RECEIVING_CURRENT,ROHS,SENSITIVITY,SPICEPREFIX,STANDOFF_HEIGHT,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,VERIFICATION_VERSION
Capacitors,26,"100nF x12, 33pF, 4.7pF x2, 47pF, 2.7pF, 1nF, 4.7nF, 3.9pF, 18pF, 3.3pF x2, 5.6pF, 1.2pF, 22pF, 1.5pF",C-USC0402,C0402,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26","CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inductors,7,"10nH x3, 2.2nH, 33nH, 3nH, 7.5nH",L-USL0201,L0201,"L1, L2, L3, L4, L5, L6, L7","INDUCTOR, American symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,L,,,,
Pin 1,1,,PINHD-1X1,1X01,JP3,PIN HEADER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,
Pin 1x2,1,,PINHD-1X2,1X02,JP1,PIN HEADER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,
Pin 1x3,1,,PINHD-1X3,1X03,JP2,PIN HEADER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,
Resistors,6,"100k x4, 1M, 3.6M",R-US_R0402,R0402,"R1, R2, R3, R4, R5, R6","RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPS FET (1.8),2,FQN1N50CI,FQN1N50CI,TO92-INLINE,"Q3, Q4","N-Channel Enhancement MOSFET 500V, 0.4A, 6.0 Ohm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switch FET (2.5-4.8),,TBD,TBD,TBD,"Q3, Q4",TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM R34,1,MICROCHIP_ATSAMR34J18B-I-7JXMICROCHIP_ATSAMR34J18B-I-7JX_0_0,MICROCHIP_ATSAMR34J18B-I-7JXMICROCHIP_ATSAMR34J18B-I-7JX_0_0,MICROCHIP_ATSAMR34J18B-I-7JX_0,U2,"IC RF TxRx + MCU 802.15.4 LoRa™ 137MHz ~ 175MHz, 410MHz ~ 525MHz, 862MHz ~ 1.02GHz 64-TFBGA",+85°C,-40°C,No,125kHz,No,http://ww1.microchip.com/downloads/en/DeviceDoc/SAM-R34-R35-Low-Power-LoRa-Sub-GHz-SiP-Data-Sheet-DS70005356C.pdf,Integrated Circuits (ICs),RF Semiconductors and Devices,Transceivers,IC RF TXRX+MCU 802.15.4 64TFBGA,ATSAMR34J18B-I/7JX-ND,,,:8,:8,,,I,O,Q,S,X,,I,O,Q,S,X,,:650000,:650000,:6150000,:6150000,:1200000,,:false}},,:8,:8,,,I,O,Q,S,X,,I,O,Q,S,X,
SAW Filter,1,RF360_HOLDINGS_B39162B4327P810RF360_HOLDINGS_B39162B4327P810_0_0,RF360_HOLDINGS_B39162B4327P810RF360_HOLDINGS_B39162B4327P810_0_0,RF360_HOLDINGS_B39162B4327P810_0,FL1,Signal Conditioning 1582.4 MHZ SAW RF FILTER,,,Yes,,No,https://en.rf360jv.com/inf/40/ds/ae/B4327.pdf,Passive Components,EMI / RFI Components,SAW,FILTER SAW 5SMD,495-7424-1-ND,Band Pass,,,,,https://en.rf360jv.com/inf/40/ds/ae/B4347.pdf,Recommended_Land_Pattern,,,,1582.4MHz,0.45mm,1.4-2dB,,,Yes,,,,,RF360 Holdings,B39162B4327P810,0,0,,,871-B39162B4327P810,B39162B4327P810,,,,SAW_FILTER_SMT_1MM1_1MM4,,FL,,Yes,,,,+85°C,-40°C,0.0.0.1
